#size device shared
512 2.174368 1.287200
528 2.501440 1.479584
544 2.613888 1.470944
560 2.739840 1.665376
576 2.909920 1.660960
592 3.299104 1.716736
608 3.399104 2.013408
624 3.726432 1.933024
640 3.981248 2.008192
656 4.271008 2.225344
672 4.531456 2.213280
688 4.972800 2.358784
704 5.064864 2.416160
720 5.389088 2.982368
736 5.842304 2.857216
752 6.157312 3.006560
768 6.438944 3.261312
784 6.806368 3.418432
800 7.110592 3.315616
816 7.743456 3.545920
832 8.028704 3.621120
848 8.267296 3.851296
864 9.213344 4.089216
880 9.289792 4.303328
896 10.003296 4.542624
912 10.153696 4.700000
928 11.087808 4.951520
944 11.057504 5.151808
960 11.582528 5.280288
976 12.046272 5.676064
992 12.521760 5.513024
1008 13.569600 5.706048
1024 13.417024 6.256128
1040 14.343104 6.319776
1056 15.552384 6.662464
1072 15.478624 7.104032
1088 15.947392 7.837184
1104 16.741472 7.601888
1120 17.474497 8.007552
1136 19.180767 8.183904
1152 19.777599 8.528736
1168 20.347040 9.171104
1184 21.104927 9.463264
1200 21.897663 9.739424
1216 22.697344 10.063392
1232 22.471071 10.130240
1248 23.259775 11.065664
1264 24.290112 11.351072
1280 25.123425 11.607296
1296 26.581856 11.939552
1312 27.092480 12.376832
1328 27.826464 12.378240
1344 29.371967 12.396064
1360 29.709215 13.367840
1376 31.360096 12.932576
1392 33.619328 13.838400
1408 33.307743 14.317024
1424 33.785954 14.964320
1440 36.403713 16.415457
1456 37.300896 16.733280
1472 37.555714 16.602753
1488 38.059746 17.150944
1504 41.181854 17.607616
1520 42.515648 18.096895
1536 43.619041 18.571873
1552 45.071327 19.054304
1568 44.562305 19.617599
1584 45.942303 20.369823
1600 47.411232 21.620928
1616 49.644993 21.376961
1632 52.433887 22.204096
1648 52.202240 23.899391
1664 55.053310 23.630207
1680 55.515553 23.632448
1696 56.332802 25.192225
1712 59.404736 25.275328
1728 60.344063 25.562080
1744 61.790367 26.198145
1760 63.091934 27.268991
1776 65.090240 28.059296
1792 67.445953 28.265921
1808 68.863297 29.082945
1824 71.389534 30.582752
1840 74.227486 30.844065
1856 74.944511 31.640863
1872 77.697952 32.509888
1888 78.923325 33.575264
1904 82.409218 33.677151
1920 84.066238 34.277248
1936 85.575645 35.293282
1952 87.890846 35.880798
1968 90.500481 36.123775
1984 93.877052 36.999969
2000 96.784927 37.969761
2016 97.853088 37.058018
2032 100.640160 38.319138
2048 103.365601 38.289089
2064 106.396095 40.817665
2080 107.775932 41.381474
2096 110.436607 42.533504
2112 115.152931 44.479424
2128 115.510147 46.661312
2144 118.059135 48.993919
2160 122.694336 48.549854
2176 123.526718 51.665344
2192 127.536064 51.702591
2208 130.352829 53.823135
2224 134.465851 54.825375
2240 136.019867 54.282497
2256 138.655197 55.194527
2272 141.516418 57.490143
2288 145.742905 57.496834
2304 147.937286 59.982143
2320 151.559967 60.680321
2336 155.705658 63.463455
2352 160.478531 64.492256
2368 161.444153 65.705536
2384 167.056061 67.771744
2400 168.263168 67.698944
2416 171.886139 68.238914
2432 175.602585 71.413857
2448 179.849060 72.288963
2464 182.767014 72.306786
2480 186.514587 77.941856
2496 181.267685 72.350723
2512 180.353500 72.329536
2528 182.970978 73.694786
2544 185.934433 75.206589
2560 191.136673 76.174301
2576 191.987045 77.875648
2592 194.344070 78.960159
2608 207.336807 88.092796
2624 218.179718 88.336800
2640 209.148026 83.490784
2656 211.946747 84.799393
2672 215.099655 86.541245
2688 218.659103 87.776932
2704 222.063385 89.127747
2720 224.636795 90.568413
2736 228.459778 92.005058
2752 231.492676 93.510941
2768 234.432510 95.227364
2784 246.670914 104.956322
2800 260.513153 105.841187
2816 244.588348 100.384514
2832 258.965027 101.678558
2848 264.469269 103.126945
2864 270.829681 104.785408
2880 277.567780 107.054436
2896 286.231232 108.563362
2912 304.632446 122.210564
2928 314.085419 112.514816
2944 301.699463 113.774750
2960 305.878662 115.055428
2976 314.725952 117.043137
2992 316.925812 118.532227
3008 325.505676 120.500511
3024 331.327271 129.377731
3040 353.639832 133.192352
3056 361.697021 126.036034
3072 349.086151 127.218819
3088 356.010590 129.645599
3104 363.198669 131.904388
3120 370.642029 134.593155
3136 376.286011 136.481018
3152 382.975159 138.530685
3168 387.637085 145.864578
3184 420.862823 143.920547
3200 405.123169 145.494308
