#dim half(ms) single(ms) double(ms)
12800 0.020992 0.012288 0.009824
25600 0.011264 0.009152 0.011040
38400 0.014208 0.009056 0.007552
51200 0.011392 0.004032 0.010560
64000 0.009952 0.011200 0.012736
76800 0.008064 0.010048 0.006144
89600 0.008000 0.005152 0.007392
102400 0.047712 0.007808 0.010336
115200 0.008736 0.012128 0.011840
128000 0.040224 0.007136 0.017056
140800 0.012704 0.010208 0.017056
153600 0.010624 0.012224 0.021504
166400 0.009120 0.014240 0.026880
179200 0.032384 0.008032 0.026336
192000 0.015520 0.016224 0.035456
204800 0.014752 0.014048 0.030048
217600 0.011904 0.014816 0.036704
230400 0.008736 0.019808 0.330208
243200 0.008768 0.016608 0.037376
256000 0.025248 0.015488 0.042048
268800 0.015904 0.022048 0.039744
281600 0.013984 0.018592 0.045344
294400 0.010432 0.022304 0.042784
307200 0.017952 0.022592 0.049280
320000 0.016512 0.020960 0.051328
332800 0.016032 0.029088 0.056320
345600 0.014272 0.026688 0.054720
358400 0.015648 0.030752 0.056352
371200 0.020864 0.032864 0.062208
384000 0.019936 0.029056 0.064544
396800 0.022048 0.030400 0.069056
409600 0.023712 0.035648 0.065536
422400 0.021696 0.032864 0.066368
435200 0.018368 0.045920 0.072224
448000 0.022688 0.034336 0.074464
460800 0.018656 0.039712 0.077280
473600 0.020480 0.036960 0.073568
486400 0.024256 0.042048 0.080992
499200 0.028064 0.043072 0.081792
512000 0.025664 0.045056 0.082496
524800 0.025984 0.039904 0.083776
537600 0.025728 0.046368 0.087712
550400 0.026208 0.047136 0.087712
563200 0.031744 0.049152 0.092288
576000 0.034688 0.047328 0.094560
588800 0.030080 0.051936 0.092672
601600 0.028960 0.045152 0.095904
614400 0.025408 0.050880 0.098336
627200 0.031360 0.049120 0.101056
640000 0.034432 0.049952 0.103296
652800 0.031232 0.053760 0.105728
665600 0.038784 0.054240 0.109024
678400 0.037504 0.059072 0.106432
691200 0.036864 0.056480 0.112128
704000 0.033760 0.060512 0.114272
716800 0.039296 0.056960 0.117536
729600 0.038176 0.061536 0.114400
742400 0.037760 0.063168 0.115328
755200 0.037184 0.059872 0.117216
768000 0.041888 0.066048 0.124512
780800 0.034496 0.213632 0.121728
793600 0.034912 0.066784 0.126688
806400 0.038720 0.066976 0.128480
819200 0.042048 0.065216 0.131392
832000 0.040768 0.070176 0.130848
844800 0.041408 0.068256 0.132160
857600 0.039936 0.064768 0.138080
870400 0.038784 0.070336 0.135264
883200 0.045376 0.068640 0.143744
896000 0.040224 0.072704 0.140224
908800 0.047200 0.071968 0.147168
921600 0.043360 0.076576 0.147872
934400 0.049248 0.073440 0.145056
947200 0.046656 0.074752 0.145632
960000 0.045152 0.079008 0.153632
972800 0.045216 0.076096 0.155680
985600 0.048704 0.082720 0.158400
998400 0.046752 0.082048 0.154432
1011200 0.051136 0.080960 0.160032
1024000 0.052768 0.083328 0.161920
1036800 0.048000 0.084224 0.165280
1049600 0.052224 0.082304 0.162912
1062400 0.052544 0.081728 0.168800
1075200 0.051168 0.089344 0.171456
1088000 0.050624 0.083552 0.169088
1100800 0.051264 0.090304 0.174528
1113600 0.053888 0.087552 0.180512
1126400 0.057920 0.088480 0.173440
1139200 0.058656 0.091232 0.184832
1152000 0.057888 0.094528 0.185472
1164800 0.055072 0.094432 0.182528
1177600 0.057920 0.093216 0.188768
1190400 0.053312 0.091392 0.188576
1203200 0.060960 0.098272 0.191360
1216000 0.065472 0.097696 0.196192
1228800 0.059680 0.098304 0.194176
1241600 0.060224 0.101472 0.194784
1254400 0.059328 0.101312 0.197952
1267200 0.057152 0.098432 0.204768
1280000 0.056896 0.100960 0.199008
1292800 0.064128 0.099456 0.204480
1305600 0.061472 0.107520 0.201696
1318400 0.059136 0.107168 0.204736
1331200 0.066560 0.109664 0.210464
1344000 0.060960 0.105760 0.208384
1356800 0.064608 0.107968 0.210912
1369600 0.065632 0.114720 0.219712
1382400 0.064928 0.111968 0.219456
1395200 0.066720 0.130016 0.216160
1408000 0.067392 0.116128 0.220032
1420800 0.066304 0.113664 0.219680
1433600 0.065152 0.113344 0.233312
1446400 0.066752 0.119200 0.233632
1459200 0.070144 0.116960 0.227584
1472000 0.072064 0.119776 0.232224
1484800 0.067904 0.120032 0.237600
1497600 0.065248 0.117248 0.237696
1510400 0.071168 0.121088 0.242880
1523200 0.069632 0.142816 0.242848
1536000 0.066688 0.120512 0.242880
1548800 0.069856 0.123040 0.241024
1561600 0.403840 0.122336 0.279040
1574400 0.074272 0.120416 0.247616
1587200 0.077216 0.129280 0.252832
1600000 0.072704 0.123232 0.248352
1612800 0.074624 0.130752 0.259520
1625600 0.075168 0.128320 0.251392
1638400 0.073056 0.132064 0.256960
1651200 0.075392 0.130848 0.258624
1664000 0.073504 0.128480 0.262560
1676800 0.075744 0.134496 0.271936
1689600 0.077984 0.134144 0.277440
1702400 0.074368 0.138688 0.280768
1715200 0.076000 0.136640 0.273472
1728000 0.075168 0.133248 0.269440
1740800 0.082432 0.140704 0.270208
1753600 0.079872 0.135264 0.271168
1766400 0.084864 0.141600 0.272448
1779200 0.081280 0.143872 0.279392
1792000 0.079424 0.139264 0.277664
1804800 0.082016 0.140704 0.281952
1817600 0.081216 0.148160 0.285760
1830400 0.083872 0.142944 0.288544
1843200 0.086016 0.146688 0.287232
1856000 0.088096 0.144992 0.285152
1868800 0.090592 0.148320 0.294912
1881600 0.088640 0.147232 0.297728
1894400 0.090592 0.156192 0.300384
1907200 0.090272 0.154496 0.304256
1920000 0.089312 0.154432 0.297888
1932800 0.089024 0.163552 0.303424
1945600 0.091936 0.155104 0.304032
1958400 0.091616 0.155648 0.306880
1971200 0.087776 0.161984 0.311360
1984000 0.090784 0.161536 0.308704
1996800 0.091360 0.159840 0.315168
2009600 0.092256 0.162496 0.313920
2022400 0.090784 0.161024 0.316928
2035200 0.090880 0.162880 0.316192
2048000 0.097536 0.159840 0.321056
2060800 0.092128 0.160896 0.323040
2073600 0.093152 0.167200 0.339872
2086400 0.099040 0.168064 0.329344
2099200 0.096576 0.167136 0.334304
2112000 0.098816 0.170880 0.334272
2124800 0.098016 0.170784 0.331264
2137600 0.099040 0.168384 0.337120
2150400 0.098016 0.174944 0.337472
2163200 0.098752 0.175520 0.343264
2176000 0.161536 0.174784 0.345568
2188800 0.100128 0.171360 0.344832
2201600 0.098240 0.176960 0.341472
2214400 0.097024 0.176320 0.345664
2227200 0.096672 0.176544 0.348576
2240000 0.098272 0.178656 0.352160
2252800 0.098912 0.176352 0.348800
2265600 0.101248 0.177984 0.356448
2278400 0.101824 0.175840 0.352128
2291200 0.102496 0.177440 0.356544
2304000 0.102848 0.177408 0.397504
2316800 0.101472 0.185664 0.362784
2329600 0.108416 0.184704 0.369568
2342400 0.108448 0.188544 0.371168
2355200 0.109088 0.182496 0.368096
2368000 0.108928 0.182944 0.372704
2380800 0.109120 0.190464 0.379232
2393600 0.108608 0.190304 0.371392
2406400 0.111520 0.192224 0.380096
2419200 0.112288 0.190688 0.380032
2432000 0.110208 0.189472 0.385184
2444800 0.109472 0.189376 0.381344
2457600 0.111552 0.189536 0.384800
2470400 0.109632 0.196736 0.382816
2483200 0.107488 0.196160 0.386944
2496000 0.113952 0.198976 0.392224
2508800 0.114560 0.201696 0.398784
2521600 0.113952 0.197504 0.398304
2534400 0.115680 0.202624 0.396160
2547200 0.112800 0.205728 0.395936
2560000 0.116672 0.203552 0.399168
2572800 0.125440 0.198400 0.405984
2585600 0.114048 0.207776 0.403488
2598400 0.112416 0.202720 0.410944
2611200 0.119264 0.206688 0.410752
2624000 0.119360 0.203552 0.411296
2636800 0.121664 0.209472 0.410208
2649600 0.120320 0.208896 0.415872
2662400 0.119264 0.210112 0.417920
2675200 0.117920 0.207936 0.418688
2688000 0.116928 0.206464 0.421952
2700800 0.116736 0.214016 0.421984
2713600 0.124032 0.210336 0.424160
2726400 0.119040 0.217056 0.424704
2739200 0.119008 0.235040 0.428160
2752000 0.118848 0.219328 0.430400
2764800 0.137760 0.217952 0.465920
2777600 0.125888 0.216096 0.437472
2790400 0.127264 0.222912 0.433856
2803200 0.128224 0.220864 0.444768
2816000 0.126784 0.217696 0.446048
2828800 0.126304 0.224256 0.444256
2841600 0.123328 0.222080 0.444992
2854400 0.126432 0.226496 0.442400
2867200 0.126176 0.228864 0.449824
2880000 0.126144 0.227616 0.452768
2892800 0.130240 0.228800 0.453088
2905600 0.131904 0.227008 0.456480
2918400 0.127968 0.225824 0.461344
2931200 0.132832 0.231296 0.456576
2944000 0.126176 0.230144 0.457504
2956800 0.132736 0.228992 0.462976
2969600 0.133376 0.234624 0.465088
2982400 0.128608 0.231360 0.459200
2995200 0.134304 0.235040 0.470144
3008000 0.136512 0.232192 0.474144
3020800 0.135840 0.235360 0.477536
3033600 0.134688 0.239232 0.472224
3046400 0.130592 0.238848 0.482240
3059200 0.133728 0.241568 0.481504
3072000 0.137888 0.237600 0.519744
3084800 0.139808 0.240096 0.481728
3097600 0.134016 0.239360 0.487168
3110400 0.135968 0.244992 0.485632
3123200 0.140416 0.247840 0.485952
3136000 0.140704 0.247584 0.490592
3148800 0.144992 0.244448 0.494688
3161600 0.143936 0.245728 0.497632
3174400 0.143744 0.249856 0.499392
3187200 0.142144 0.252544 0.504736
3200000 0.142880 0.254624 0.504384
3212800 0.142016 0.250304 0.499040
3225600 0.147392 0.252032 0.503328
3238400 0.146112 0.252416 0.541280
3251200 0.146528 0.252256 0.510592
3264000 0.141728 0.258592 0.510880
3276800 0.149376 0.253120 0.505504
3289600 0.149760 0.261248 0.512416
3302400 0.148256 0.255904 0.517504
3315200 0.149696 0.272736 0.519072
3328000 0.153920 0.262656 0.521120
3340800 0.153056 0.261728 0.519648
3353600 0.150752 0.260480 0.524480
3366400 0.149312 0.270208 0.536064
3379200 0.147360 0.261664 0.523360
3392000 0.151104 0.268480 0.526016
3404800 0.147968 0.266464 0.527680
3417600 0.154016 0.266592 0.532352
3430400 0.145824 0.267968 0.532640
3443200 0.151328 0.273024 0.530784
3456000 0.152832 0.275072 0.559424
3468800 0.146112 0.275296 0.541120
3481600 0.152064 0.275200 0.548000
3494400 0.155360 0.272032 0.551040
3507200 0.151488 0.279488 0.557856
3520000 0.155552 0.279648 0.553600
3532800 0.151232 0.280640 0.557408
3545600 0.153376 0.280416 0.594240
